"dataset","core_id","issues","message"
"cm.xpt","CORE-000138",2144,"CMSTDY is populated but either CMSTDTC or RFSTDTC in the DM dataset does not contain a complete date value."
"lb.xpt","CORE-000249",1955,"VISITDY does not match the VISITDY in the TV dataset for the corresponding VISITNUM."
"cm.xpt","CORE-000139",1920,"CMENDY is populated but either CMENDTC or RFSTDTC in the DM dataset do not contain complete values in the date portion."
"oe.xpt","CORE-000354",1648,"The date portion of OEDTC or RFSTDTC is incomplete, but OEDY is not empty."
"lb.xpt","CORE-000361",1216,"VISIT and VISITNUM do not have a one-to-one relationship."
"dm.xpt","CORE-000351",1098,"USUBJID is not unique within study."
"dm.xpt","CORE-000186",1091,"SUBJID is not unique within study."
"ts.xpt","CORE-000154",1084,"TSSEQ is not unique within TSPARMCD."
"ss.xpt","CORE-000249",1071,"VISITDY does not match the VISITDY in the TV dataset for the corresponding VISITNUM."
"se.xpt","CORE-000138",936,"SESTDY is populated but either SESTDTC or RFSTDTC in the DM dataset does not contain a complete date value."
"se.xpt","CORE-000139",899,"SEENDY is populated but either SEENDTC or RFSTDTC in the DM dataset do not contain complete values in the date portion."
"dm.xpt","CORE-000008",868,"SSSTRESC in the SS dataset is 'DEAD', but DTHFL in the DM dataset is not equal to 'Y'."
"sv.xpt","CORE-000361",865,"VISIT and VISITNUM do not have a one-to-one relationship."
"lb2.xpt","CORE-000553",734,"LBENDY is not calculated correctly even though the date portion of LBENDTC is complete and the date portion of RFSTDTC is complete."
"lb1.xpt","CORE-000553",734,"LBENDY is not calculated correctly even though the date portion of LBENDTC is complete and the date portion of RFSTDTC is complete."
"mh.xpt","CORE-000138",715,"MHSTDY is populated but either MHSTDTC or RFSTDTC in the DM dataset does not contain a complete date value."
"lb.xpt","CORE-000689",695,"LBTPT and LBTPTNUM do not have a one-to-one relationship per unique combination of VISITNUM and LBTPTREF values."
"lb2.xpt","CORE-000529",644,"LBDY is not calculated correctly even though the date portion of LBDTC is complete, the date portion of RFSTDTC is complete, and LBDY is not empty."
"pr.xpt","CORE-000249",624,"VISITDY does not match the VISITDY in the TV dataset for the corresponding VISITNUM."
"pr.xpt","CORE-000553",612,"PRENDY is not calculated correctly even though the date portion of PRENDTC is complete and the date portion of RFSTDTC is complete."
"dm.xpt","CORE-000748",579,"Subject is assigned to an arm code (randomized) but has no record in the EX dataset."
"lb1.xpt","CORE-000529",569,"LBDY is not calculated correctly even though the date portion of LBDTC is complete, the date portion of RFSTDTC is complete, and LBDY is not empty."
"ae.xpt","CORE-002047",544,"AEBODSYS is not a valid MedDRA system organ class."
"ho.xpt","CORE-000553",528,"HOENDY is not calculated correctly even though the date portion of HOENDTC is complete and the date portion of RFSTDTC is complete."
"fa.xpt","CORE-000354",527,"The date portion of FADTC or RFSTDTC is incomplete, but FADY is not empty."
"lb1.xpt","CORE-000354",513,"The date portion of LBDTC or RFSTDTC is incomplete, but LBDY is not empty."
"ft.xpt","CORE-000249",511,"VISITDY does not match the VISITDY in the TV dataset for the corresponding VISITNUM."
"mh.xpt","CORE-000553",486,"MHENDY is not calculated correctly even though the date portion of MHENDTC is complete and the date portion of RFSTDTC is complete."
"ae.xpt","CORE-002008",475,"AELLT is not a valid MedDRA lowest level TERM."
"vs.xpt","CORE-000249",472,"VISITDY does not match the VISITDY in the TV dataset for the corresponding VISITNUM."
"zb.xpt","CORE-000529",444,"ZBDY is not calculated correctly even though the date portion of ZBDTC is complete, the date portion of RFSTDTC is complete, and ZBDY is not empty."
"dm.xpt","CORE-000238",440,"RFXENDTC does not equal the latest value of EXSTDTC or EXENDTC in the EX dataset."
"ae.xpt","CORE-002031",439,"AEBDSYCD is not a valid MedDRA system organ class code."
"ae.xpt","CORE-002014",435,"AEHLGT is not a valid MedDRA high level group term."
"ae.xpt","CORE-002013",435,"AEHLT is not a valid MedDRA high level term."
"ae.xpt","CORE-002012",435,"AEHLGTCD is not a valid MedDRA high level group term code."
"ae.xpt","CORE-002011",435,"AEHLTCD is not a valid MedDRA high level term code."
"ae.xpt","CORE-002010",435,"AEPTCD  is not a valid MedDRA preferred term code."
"ae.xpt","CORE-002009",434,"AELLTCD is not a valid MedDRA lowest level code."
"ae.xpt","CORE-000139",417,"AEENDY is populated but either AEENDTC or RFSTDTC in the DM dataset do not contain complete values in the date portion."
"ds.xpt","CORE-000201",404,"USUBJID value is missing in the DM dataset."
"dm.xpt","CORE-000239",383,"RFXSTDTC does not equal the earliest value of EXSTDTC in the EX dataset."
"dm.xpt","CORE-000356",353,"Required variable has a missing value."
"vs.xpt","CORE-000689",340,"VSTPT and VSTPTNUM do not have a one-to-one relationship per unique combination of VISITNUM and VSTPTREF values."
"dv.xpt","CORE-000086",340,"DVSTDTC is earlier than RFICDTC in DM."
"ec.xpt","CORE-002032",320,"ECSTDTC does not fall on or between RFXSTDTC and RFXENDTC."
"ss.xpt","CORE-000354",288,"The date portion of SSDTC or RFSTDTC is incomplete, but SSDY is not empty."
"lb2.xpt","CORE-000354",283,"The date portion of LBDTC or RFSTDTC is incomplete, but LBDY is not empty."
"dm.xpt","CORE-000252",283,"DTHFL is not equal to 'Y' but DSDECOD is equal to 'DEATH'."
"ae.xpt","CORE-000356",275,"Required variable has a missing value."
"ce.xpt","CORE-000553",266,"CEENDY is not calculated correctly even though the date portion of CEENDTC is complete and the date portion of RFSTDTC is complete."
"sv.xpt","CORE-000271",256,"EPOCH value does not match any of the EPOCH values in the TA dataset."
"ts.xpt","CORE-000152",244,"TSVAL and TSVALCD do not have a one-to-one relationship."
"dm.xpt","CORE-000047",233,"ARM value in DM dataset does not match any ARM value in TA dataset. This is only acceptable for multi-stage studies with incomplete ARM assignments."
"mh.xpt","CORE-002047",219,"MHBODSYS is not a valid MedDRA system organ class."
"mh.xpt","CORE-002031",219,"MHBDSYCD is not a valid MedDRA system organ class code."
"ti.xpt","CORE-000145",210,"IETESTCD must be unique within TIVERS."
"ds.xpt","CORE-002037",208,"DSDECOD is not consistent for records with identical DSTERM values."
"mh.xpt","CORE-000184",207,"MHBDSYCD and MHBODSYS do not have a one-to-one relationship."
"mh.xpt","CORE-002008",204,"MHLLT is not a valid MedDRA lowest level TERM."
"mh.xpt","CORE-002009",202,"MHLLTCD is not a valid MedDRA lowest level code."
"ce.xpt","CORE-000138",202,"CESTDY is populated but either CESTDTC or RFSTDTC in the DM dataset does not contain a complete date value."
"mh.xpt","CORE-002014",199,"MHHLGT is not a valid MedDRA high level group term."
"mh.xpt","CORE-002013",199,"MHHLT is not a valid MedDRA high level term."
"mh.xpt","CORE-002012",199,"MHHLGTCD is not a valid MedDRA high level group term code."
"mh.xpt","CORE-002011",199,"MHHLTCD is not a valid MedDRA high level term code."
"mh.xpt","CORE-002010",199,"MHPTCD  is not a valid MedDRA preferred term code."
"mh.xpt","CORE-000268",199,"MHDECOD and MHPTCD do not have a one-to-one relationship."
"ae.xpt","CORE-000264",199,"AEBODSYS must be equal to AESOC when primary SOC is used for analysis."
"se.xpt","CORE-000352",189,"SEENDTC is not equal to SESTDTC of the next element."
"ae.xpt","CORE-000022",188,"At least one of the Seriousness criteria (AESCAN, AESCONG, AESDISAB, AESDTH, AESHOSP, AESLIFE, AESOD or AESMIE) = 'Y', but AESER = 'N' or empty."
"tv.xpt","CORE-000361",178,"VISIT and VISITNUM do not have a one-to-one relationship."
"ae.xpt","CORE-000024",174,"AEBODSYS is not empty but AEBDSYCD is empty or not present in dataset."
"ft.xpt","CORE-000361",171,"VISIT and VISITNUM do not have a one-to-one relationship."
"tr.xpt","CORE-000201",168,"USUBJID value is missing in the DM dataset."
"tr.xpt","CORE-000168",168,"VISITNUM does not match any of the VISITNUM values in the SV dataset."
"vs.xpt","CORE-000361",164,"VISIT and VISITNUM do not have a one-to-one relationship."
"ds.xpt","CORE-000034",149,"DSDECOD equals 'DEATH' but DSSTDTC is not equal to DTHDTC in DM dataset."
"ft.xpt","CORE-000689",148,"FTTPT and FTTPTNUM do not have a one-to-one relationship per unique combination of VISITNUM and FTTPTREF values."
"ss.xpt","CORE-000259",145,"SSDTC in the SS dataset, where SSSTRESC is equal to 'DEAD', is equal to or after DTHDTC in the DM dataset."
"ae.xpt","CORE-000266",139,"AESER is not equal to 'N', but none of the seriousness events categories (AESCAN, AESCONG, AESDISAB, AESDTH, AESHOSP, AESLIFE, AESOD, AESMIE) are flagged as 'Y'."
"se.xpt","CORE-000201",119,"USUBJID value is missing in the DM dataset."
"ae.xpt","CORE-002015",116,"AEDECOD is completed but value is not a valid MedDRA preferred TERM."
"zb.xpt","CORE-000354",108,"The date portion of ZBDTC or RFSTDTC is incomplete, but ZBDY is not empty."
"pr.xpt","CORE-000139",108,"PRENDY is populated but either PRENDTC or RFSTDTC in the DM dataset do not contain complete values in the date portion."
"pr.xpt","CORE-000138",108,"PRSTDY is populated but either PRSTDTC or RFSTDTC in the DM dataset does not contain a complete date value."
"suppdm.xpt","CORE-000337",105,"Multiple races are populated in SUPPDM but RACE in the DM dataset does not equal 'MULTIPLE'."
"ta.xpt","CORE-000132",100,"ELEMENT and ETCD do not have a one-to-one relationship."
"ft.xpt","CORE-000028",100,"FTTPTREF is not populated but FTELTM is populated."
"ds.xpt","CORE-000249",99,"VISITDY does not match the VISITDY in the TV dataset for the corresponding VISITNUM."
"dm.xpt","CORE-000006",97,"DTHFL is not equal to 'Y' or empty."
"ce.xpt","CORE-000139",88,"CEENDY is populated but either CEENDTC or RFSTDTC in the DM dataset do not contain complete values in the date portion."
"ft.xpt","CORE-000168",86,"VISITNUM does not match any of the VISITNUM values in the SV dataset."
"ce.xpt","CORE-002047",80,"CEBODSYS is not a valid MedDRA system organ class."
"ce.xpt","CORE-002031",80,"CEBDSYCD is not a valid MedDRA system organ class code."
"ce.xpt","CORE-002014",80,"CEHLGT is not a valid MedDRA high level group term."
"ce.xpt","CORE-002013",80,"CEHLT is not a valid MedDRA high level term."
"ce.xpt","CORE-002012",80,"CEHLGTCD is not a valid MedDRA high level group term code."
"ce.xpt","CORE-002011",80,"CEHLTCD is not a valid MedDRA high level term code."
"ce.xpt","CORE-002010",80,"CEPTCD  is not a valid MedDRA preferred term code."
"ce.xpt","CORE-002009",80,"CELLTCD is not a valid MedDRA lowest level code."
"ce.xpt","CORE-002008",80,"CELLT is not a valid MedDRA lowest level TERM."
"ce.xpt","CORE-000362",80,"CESOCCD must be equal to CEBDSYCD when primary SOC is used for analysis."
"ce.xpt","CORE-000264",80,"CEBODSYS must be equal to CESOC when primary SOC is used for analysis."
"dm.xpt","CORE-000254",76,"DTHFL is not equal to 'Y' but AEOUT in AE dataset is equal to 'FATAL'."
"ds.xpt","CORE-000168",71,"VISITNUM does not match any of the VISITNUM values in the SV dataset."
"lb.xpt","CORE-000201",70,"USUBJID value is missing in the DM dataset."
"ts.xpt","CORE-000149",68,"TSVALNF must be populated when TSVAL is not populated."
"oe.xpt","CORE-000361",67,"VISIT and VISITNUM do not have a one-to-one relationship."
"suppae.xpt","CORE-000201",65,"USUBJID value is missing in the DM dataset."
"ho.xpt","CORE-000201",65,"USUBJID value is missing in the DM dataset."
"cm.xpt","CORE-000262",65,"RFSTDTC in DM the dataset is not populated but CMSTRF is populated."
"sv.xpt","CORE-000269",64,"VISIT value for planned visit does not match any VISIT value in the TV dataset."
"sm.xpt","CORE-002016",64,"MIDS value is not correctly sequenced chronologically per SMSTDTC for the corresponding MIDSTYPE in the TM dataset where TMRPT = 'Y'."
"dm.xpt","CORE-000010",62,"ARMCD value length should be <= 20."
"dm.xpt","CORE-002035",61,"RFENDTC is populated, but RFSTDTC is not populated."
"ae.xpt","CORE-000262",61,"RFSTDTC in DM the dataset is not populated but AESTRF is populated."
"be.xpt","CORE-000362",58,"BESOCCD must be equal to BEBDSYCD when primary SOC is used for analysis."
"be.xpt","CORE-000264",58,"BEBODSYS must be equal to BESOC when primary SOC is used for analysis."
"dm.xpt","CORE-000115",55,"ARM must not be equal to 'Screen Failure', 'Not Assigned', 'Unplanned Treatment' or 'Not Treated'."
"be.xpt","CORE-000356",55,"Required variable has a missing value."
"dm.xpt","CORE-000045",52,"ARMNRS must be populated when ARMCD is not populated."
"sj.xpt","CORE-000553",51,"SJENDY is not calculated correctly even though the date portion of SJENDTC is complete and the date portion of RFSTDTC is complete."
"dm.xpt","CORE-000046",51,"ARMNRS must be populated when ARM is not populated."
"se.xpt","CORE-000271",49,"EPOCH value does not match any of the EPOCH values in the TA dataset."
"vs.xpt","CORE-000168",48,"VISITNUM does not match any of the VISITNUM values in the SV dataset."
"dm.xpt","CORE-000185",47,"Length of ACTARMCD is greater than 20 characters"
"ds.xpt","CORE-000356",45,"Required variable has a missing value."
"ec.xpt","CORE-000004",44,"ECOCCUR indicates dose was not given, ECDOSE needs to be blank or greater than 0."
"co.xpt","CORE-000201",44,"USUBJID value is missing in the DM dataset."
"tv.xpt","CORE-000356",41,"Required variable has a missing value."
"sv.xpt","CORE-000038",40,"SVOCCUR is populated but SVPRESP is not equal to 'Y'."
"ss.xpt","CORE-000356",40,"Required variable has a missing value."
"mb.xpt","CORE-000356",39,"Required variable has a missing value."
"ss.xpt","CORE-000168",38,"VISITNUM does not match any of the VISITNUM values in the SV dataset."
"lb.xpt","CORE-000200",36,"LBSTAT is not populated and LBDRVFL is not equal to 'Y', but LBORRES is not populated."
"ec.xpt","CORE-000016",36,"ECPRESP should be populated as 'Y' when ECOCCUR is populated."
"ec.xpt","CORE-000014",36,"ECOCCUR must be null when ECPRESP is not equal to 'Y' or when ECSTAT is 'NOT DONE'."
"mh.xpt","CORE-000139",34,"MHENDY is populated but either MHENDTC or RFSTDTC in the DM dataset do not contain complete values in the date portion."
"lb.xpt","CORE-000356",31,"Required variable has a missing value."
"te.xpt","CORE-000132",30,"ELEMENT and ETCD do not have a one-to-one relationship."
"cm.xpt","CORE-000201",28,"USUBJID value is missing in the DM dataset."
"apdm.xpt","CORE-000550",27,"Variable is not listed in the Model List of Allowed Variables for the Observation Class and should be in supplemental qualifiers."
"ie.xpt","CORE-000354",25,"The date portion of IEDTC or RFSTDTC is incomplete, but IEDY is not empty."
"pp.xpt","CORE-000201",24,"USUBJID value is missing in the DM dataset."
"mh.xpt","CORE-000264",24,"MHBODSYS must be equal to MHSOC when primary SOC is used for analysis."
"ta.xpt","CORE-000010",21,"ARMCD value length should be <= 20."
"ss.xpt","CORE-000251",21,"SSSTRESC in the SS dataset is 'DEAD', but a record is missing in the DS dataset where DSDECOD = 'DEATH'."
"ta.xpt","CORE-000356",20,"Required variable has a missing value."
"sm.xpt","CORE-000553",20,"SMENDY is not calculated correctly even though the date portion of SMENDTC is complete and the date portion of RFSTDTC is complete."
"cm.xpt","CORE-000106",20,"CMENRTPT is not populated when CMENTPT is populated."
"ae.xpt","CORE-000362",20,"AESOCCD must be equal to AEBDSYCD when primary SOC is used for analysis."
"dm.xpt","CORE-000108",19,"A DD record is present, but DTHFL is not equal to 'Y'."
"ss.xpt","CORE-000178",18,"SSSTRESC is equal to 'DEAD' in the SS dataset, but SSDTC is less than the maximum DSSTDTC value in the DS dataset."
"se.xpt","CORE-000009",18,"ELEMENT variable has a non-null value when ETCD has a value of 'UNPLAN'"
"mh.xpt","CORE-000016",18,"MHPRESP should be populated as 'Y' when MHOCCUR is populated."
"mh.xpt","CORE-000014",18,"MHOCCUR must be null when MHPRESP is not equal to 'Y' or when MHSTAT is 'NOT DONE'."
"mb.xpt","CORE-000201",18,"USUBJID value is missing in the DM dataset."
"ho.xpt","CORE-000016",18,"HOPRESP should be populated as 'Y' when HOOCCUR is populated."
"ho.xpt","CORE-000014",18,"HOOCCUR must be null when HOPRESP is not equal to 'Y' or when HOSTAT is 'NOT DONE'."
"ce.xpt","CORE-000354",18,"The date portion of CEDTC or RFSTDTC is incomplete, but CEDY is not empty."
"ce.xpt","CORE-000016",18,"CEPRESP should be populated as 'Y' when CEOCCUR is populated."
"ce.xpt","CORE-000014",18,"CEOCCUR must be null when CEPRESP is not equal to 'Y' or when CESTAT is 'NOT DONE'."
"be.xpt","CORE-000016",18,"BEPRESP should be populated as 'Y' when BEOCCUR is populated."
"be.xpt","CORE-000014",18,"BEOCCUR must be null when BEPRESP is not equal to 'Y' or when BESTAT is 'NOT DONE'."
"apdrug1ex.xpt","CORE-000550",18,"Variable is not listed in the Model List of Allowed Variables for the Observation Class and should be in supplemental qualifiers."
"ie.xpt","CORE-000529",17,"IEDY is not calculated correctly even though the date portion of IEDTC is complete, the date portion of RFSTDTC is complete, and IEDY is not empty."
"se.xpt","CORE-000020",16,"TAETORD must be null when ETCD = 'UNPLAN'."
"relrec.xpt","CORE-000484",16,"Unique RELID is not present on multiple RELREC records within a subject."
"pr.xpt","CORE-000168",16,"VISITNUM does not match any of the VISITNUM values in the SV dataset."
"mh.xpt","CORE-002037",16,"MHDECOD is not consistent for records with identical MHTERM values."
"mh.xpt","CORE-000106",16,"MHENRTPT is not populated when MHENTPT is populated."
"dm1.xpt","CORE-000008",16,"SSSTRESC in the SS dataset is 'DEAD', but DTHFL in the DM dataset is not equal to 'Y'."
"ie.xpt","CORE-000227",15,"IETEST does not match any IETEST value in the TI dataset."
"ec.xpt","CORE-000260",15,"ECPRESP does not equal 'Y' or is not empty."
"ts.xpt","CORE-000150",14,"TSVALNF must not be populated when TSVAL is populated."
"pe.xpt","CORE-000201",14,"USUBJID value is missing in the DM dataset."
"pe.xpt","CORE-000168",14,"VISITNUM does not match any of the VISITNUM values in the SV dataset."
"pe.xpt","CORE-000140",14,"VISITNUM does not match any of the VISITNUM values in the TV dataset but VISITDY is populated."
"ex.xpt","CORE-000100",14,"EXTRTV is not populated when EXVAMT is populated."
"ag.xpt","CORE-000201",14,"USUBJID value is missing in the DM dataset."
"ae.xpt","CORE-000117",14,"AEPRESP is equal to 'Y' and AEOCCUR is not populated but AESTAT is not equal to 'NOT DONE'."
"su.xpt","CORE-000016",13,"SUPRESP should be populated as 'Y' when SUOCCUR is populated."
"su.xpt","CORE-000014",13,"SUOCCUR must be null when SUPRESP is not equal to 'Y' or when SUSTAT is 'NOT DONE'."
"sm.xpt","CORE-000201",13,"USUBJID value is missing in the DM dataset."
"pr.xpt","CORE-000016",13,"PRPRESP should be populated as 'Y' when PROCCUR is populated."
"pr.xpt","CORE-000014",13,"PROCCUR must be null when PRPRESP is not equal to 'Y' or when PRSTAT is 'NOT DONE'."
"ml.xpt","CORE-000016",13,"MLPRESP should be populated as 'Y' when MLOCCUR is populated."
"ml.xpt","CORE-000014",13,"MLOCCUR must be null when MLPRESP is not equal to 'Y' or when MLSTAT is 'NOT DONE'."
"mb.xpt","CORE-000200",13,"MBSTAT is not populated and MBDRVFL is not equal to 'Y', but MBORRES is not populated."
"ho.xpt","CORE-000257",13,"HOSTRTPT is completed, but HOSTTPT is not completed."
"ex.xpt","CORE-000201",13,"USUBJID value is missing in the DM dataset."
"ag.xpt","CORE-000016",13,"AGPRESP should be populated as 'Y' when AGOCCUR is populated."
"ag.xpt","CORE-000014",13,"AGOCCUR must be null when AGPRESP is not equal to 'Y' or when AGSTAT is 'NOT DONE'."
"lb.xpt","CORE-000299",12,"LBSTNRHI is populated when LBORRES is not a quantitative value."
"lb.xpt","CORE-000298",12,"LBSTNRLO is populated when LBORRES is not a quantitative value."
"lb.xpt","CORE-000290",12,"LBORNRLO is populated when LBORRES is not a quantitative value."
"lb.xpt","CORE-000289",12,"LBORNRHI is populated when LBORRES is not a quantitative value."
"ho.xpt","CORE-000139",12,"HOENDY is populated but either HOENDTC or RFSTDTC in the DM dataset do not contain complete values in the date portion."
"ho.xpt","CORE-000138",12,"HOSTDY is populated but either HOSTDTC or RFSTDTC in the DM dataset does not contain a complete date value."
"aplb.xpt","CORE-000550",12,"Variable is not listed in the Model List of Allowed Variables for the Observation Class and should be in supplemental qualifiers."
"vs.xpt","CORE-000200",11,"VSSTAT is not populated and VSDRVFL is not equal to 'Y', but VSORRES is not populated."
"sv.xpt","CORE-000140",11,"VISITNUM does not match any of the VISITNUM values in the TV dataset but VISITDY is populated."
"oe.xpt","CORE-000199",11,"OETEST value length is greater than 40 characters."
"ft.xpt","CORE-000200",11,"FTSTAT is not populated and FTDRVFL is not equal to 'Y', but FTORRES is not populated."
"cm.xpt","CORE-000016",11,"CMPRESP should be populated as 'Y' when CMOCCUR is populated."
"cm.xpt","CORE-000014",11,"CMOCCUR must be null when CMPRESP is not equal to 'Y' or when CMSTAT is 'NOT DONE'."
"be.xpt","CORE-002037",11,"BEDECOD is not consistent for records with identical BETERM values."
"td.xpt","CORE-000356",10,"Required variable has a missing value."
"suppec.xpt","CORE-001081",10,"Variable role specified in the define-xml does not match the variable role in the IG (for domains) or in the model (for custom domains)."
"suppdmmmm.xpt","CORE-001081",10,"Variable role specified in the define-xml does not match the variable role in the IG (for domains) or in the model (for custom domains)."
"suppdmdm.xpt","CORE-001081",10,"Variable role specified in the define-xml does not match the variable role in the IG (for domains) or in the model (for custom domains)."
"suppdm.xpt","CORE-001081",10,"Variable role specified in the define-xml does not match the variable role in the IG (for domains) or in the model (for custom domains)."
"suppae.xpt","CORE-000135",10,"IDVAR is populated but IDVARVAL is not populated."
"relsub.xpt","CORE-000201",10,"USUBJID value is missing in the DM dataset."
"oe.xpt","CORE-000168",10,"VISITNUM does not match any of the VISITNUM values in the SV dataset."
"ft.xpt","CORE-000356",10,"Required variable has a missing value."
"dm.xpt","CORE-000190",10,"AGE must be populated when AGEU is populated."
"ae.xpt","CORE-000260",10,"AEPRESP does not equal 'Y' or is not empty."
"zz.xpt","CORE-000362",9,"ZZSOCCD must be equal to ZZBDSYCD when primary SOC is used for analysis."
"zz.xpt","CORE-000264",9,"ZZBODSYS must be equal to ZZSOC when primary SOC is used for analysis."
"vs.xpt","CORE-000199",9,"VSTEST value length is greater than 40 characters."
"ts.xpt","CORE-000356",9,"Required variable has a missing value."
"ts.xpt","CORE-000041",9,"TSVAL is not populated with an ISO 21090 null flavor or null flavor description but TSVALNF is populated."
"ss.xpt","CORE-000361",9,"VISIT and VISITNUM do not have a one-to-one relationship."
"pr.xpt","CORE-000257",9,"PRSTRTPT is completed, but PRSTTPT is not completed."
"cm.xpt","CORE-000117",9,"CMPRESP is equal to 'Y' and CMOCCUR is not populated but CMSTAT is not equal to 'NOT DONE'."
"apmhe.xpt","CORE-000550",9,"Variable is not listed in the Model List of Allowed Variables for the Observation Class and should be in supplemental qualifiers."
"apmh.xpt","CORE-000550",9,"Variable is not listed in the Model List of Allowed Variables for the Observation Class and should be in supplemental qualifiers."
"xd.xpt","CORE-000201",8,"USUBJID value is missing in the DM dataset."
"vs.xpt","CORE-000021",8,"VSSTRESC should be populated when either VSORRES is provided or VSDRVFL = 'Y'."
"tv.xpt","CORE-000115",8,"ARM must not be equal to 'Screen Failure', 'Not Assigned', 'Unplanned Treatment' or 'Not Treated'."
"ta.xpt","CORE-000115",8,"ARM must not be equal to 'Screen Failure', 'Not Assigned', 'Unplanned Treatment' or 'Not Treated'."
"sm.xpt","CORE-000109",8,"SMSTDTC must be populated."
"ml.xpt","CORE-000356",8,"Required variable has a missing value."
"mh.xpt","CORE-000024",8,"MHBODSYS is not empty but MHBDSYCD is empty or not present in dataset."
"lb1.xpt","CORE-000168",8,"VISITNUM does not match any of the VISITNUM values in the SV dataset."
"lb.xpt","CORE-000083",8,"LBORRES must be populated when LBLOBXFL = 'Y' and either LBDRVFL is not present in dataset or is not populated."
"ex.xpt","CORE-000356",8,"Required variable has a missing value."
"dm2.xpt","CORE-000008",8,"SSSTRESC in the SS dataset is 'DEAD', but DTHFL in the DM dataset is not equal to 'Y'."
"co.xpt","CORE-000090",8,"RDOMAIN is not populated but IDVAR is populated."
"co.xpt","CORE-000017",8,"When IDVARVAL is populated then RDOMAIN should also be populated."
"cm.xpt","CORE-000356",8,"Required variable has a missing value."
"vs.xpt","CORE-000083",7,"VSORRES must be populated when VSLOBXFL = 'Y' and either VSDRVFL is not present in dataset or is not populated."
"suppec.xpt","CORE-000134",7,"RDOMAIN is not equal to 'DM' but IDVAR is not populated."
"se.xpt","CORE-000256",7,"SEUPDES is not populated but ETCD is equal to 'UNPLAN'."
"mb.xpt","CORE-000550",7,"Variable is not listed in the Model List of Allowed Variables for the Observation Class and should be in supplemental qualifiers."
"lb2.xpt","CORE-000168",7,"VISITNUM does not match any of the VISITNUM values in the SV dataset."
"dm.xpt","CORE-000122",7,"AGE or AGETXT must be populated when AGEU is populated."
